S_No,index,Time,Date,Date2,season,yr,mnth,day,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total,https://archive.ics.uci.edu/ml/datasets/bike+sharing+dataset
1,1,1/1/2011 0:00,1/1/2011,1,1,0,1,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,
2,2,1/1/2011 1:00,1/1/2011,1,1,0,1,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,
3,3,1/1/2011 2:00,1/1/2011,1,1,0,1,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,
4,4,1/1/2011 3:00,1/1/2011,1,1,0,1,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,
5,5,1/1/2011 4:00,1/1/2011,1,1,0,1,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,
6,6,1/1/2011 5:00,1/1/2011,1,1,0,1,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,
7,7,1/1/2011 6:00,1/1/2011,1,1,0,1,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,
8,8,1/1/2011 7:00,1/1/2011,1,1,0,1,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,
9,9,1/1/2011 8:00,1/1/2011,1,1,0,1,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,
10,10,1/1/2011 9:00,1/1/2011,1,1,0,1,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,
11,11,1/1/2011 10:00,1/1/2011,1,1,0,1,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,
12,12,1/1/2011 11:00,1/1/2011,1,1,0,1,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,
13,13,1/1/2011 12:00,1/1/2011,1,1,0,1,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,
14,14,1/1/2011 13:00,1/1/2011,1,1,0,1,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,
15,15,1/1/2011 14:00,1/1/2011,1,1,0,1,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,
16,16,1/1/2011 15:00,1/1/2011,1,1,0,1,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,
17,17,1/1/2011 16:00,1/1/2011,1,1,0,1,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,
